-2.500000,4.330127
-2.375000,4.113621
-2.250000,3.897114
-2.125000,3.680608
-2.000000,3.464102
-1.875000,3.247595
-1.750000,3.031089
-1.625000,2.814583
-1.500000,2.598076
-1.375000,2.381570
-1.250000,2.165064
-1.125000,1.948557
-1.000000,1.732051
-0.875000,1.515544
-0.750000,1.299038
-0.625000,1.082532
-0.500000,0.866025
-0.375000,0.649519
-0.250000,0.433013
-0.125000,0.216506
0.000000,0.000000
0.000000,0.000000
0.300000,0.000000
0.600000,0.000000
0.900000,0.000000
1.200000,0.000000
1.500000,0.000000
1.800000,0.000000
2.100000,0.000000
2.400000,0.000000
2.700000,0.000000
3.000000,0.000000
3.300000,0.000000
3.600000,0.000000
3.900000,0.000000
4.200000,0.000000
4.500000,0.000000
4.800000,0.000000
5.100000,0.000000
5.400000,0.000000
5.700000,0.000000
6.000000,0.000000
6.000000,0.000000
5.575000,0.216506
5.150000,0.433013
4.725000,0.649519
4.300000,0.866025
3.875000,1.082532
3.450000,1.299038
3.025000,1.515544
2.600000,1.732051
2.175000,1.948557
1.750000,2.165064
1.325000,2.381570
0.900000,2.598076
0.475000,2.814583
0.050000,3.031089
-0.375000,3.247595
-0.800000,3.464102
-1.225000,3.680608
-1.650000,3.897114
-2.075000,4.113621
-2.500000,4.330127
